Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001348,Male,Yes,0,Not Graduate,Yes,4288,4919,289,360,1,Urban,N
LP001349,Male,No,1,Not Graduate,No,3724,718,130,360,1,,Y
LP001350,Male,Yes,3+,Graduate,No,4848,0,169,360,1,Semiurban,Y
LP001351,Male,Yes,0,Graduate,No,4474,0,169,360,1,Rural,Y
LP001352,Male,Yes,0,Graduate,Yes,3771,5052,244,360,1,Rural,N
LP001353,Male,Yes,0,Graduate,Yes,2119,2308,152,360,,Urban,N
LP001354,Male,Yes,0,Graduate,No,2176,1676,147,360,0,Rural,N
LP001355,Male,Yes,0,Graduate,No,3253,0,116,360,1,Semiurban,Y
LP001356,Male,No,0,Graduate,No,4214,3365,242,360,1,Semiurban,Y
LP001357,Male,Yes,3+,Not Graduate,No,3217,0,142,360,1,Urban,Y
LP001358,Male,Yes,0,Graduate,,5605,0,206,360,1,Urban,Y
LP001359,Male,Yes,2,Not Graduate,No,3731,4057,231,180,1,Urban,Y
LP001360,Male,Yes,,Graduate,No,2740,0,140,360,1,Rural,Y
LP001361,Female,Yes,0,Not Graduate,No,3733,3120,249,360,1,Semiurban,Y
LP001362,Male,Yes,0,Graduate,No,4683,2052,,180,0,Semiurban,Y
LP001363,Male,No,2,Graduate,No,4896,1934,267,360,0,Semiurban,N
LP001364,Male,No,0,Not Graduate,No,9850,2792,414,360,,Urban,Y
LP001365,Male,No,2,Not Graduate,No,3131,0,159,360,1,Urban,Y
LP001366,Male,Yes,0,Graduate,No,4093,0,174,60,1,Semiurban,Y
LP001367,Male,Yes,1,Graduate,No,5124,0,230,84,1,Semiurban,Y
LP001368,Male,No,2,Graduate,No,4186,4351,286,360,1,Rural,Y
LP001369,Male,Yes,0,Graduate,,3377,1008,162,180,0,Semiurban,N
LP001370,Female,Yes,0,Graduate,No,2107,0,77,360,1,Semiurban,N
LP001371,Male,Yes,3+,Not Graduate,No,3361,0,144,360,1,Rural,N
LP001372,Male,No,0,Graduate,No,2609,0,97,360,1,Urban,Y
LP001373,Male,Yes,0,Graduate,No,1945,1551,138,360,1,Semiurban,Y
LP001374,Male,No,0,Graduate,No,2957,1340,112,360,1,Semiurban,Y
LP001375,Male,No,0,Graduate,No,2641,1436,128,,1,Urban,Y
LP001376,Male,Yes,2,Graduate,No,5501,5406,406,360,1,Urban,Y
LP001377,Female,No,2,,No,5544,0,206,360,1,Urban,Y
LP001378,Male,Yes,0,Graduate,No,2817,1095,134,360,1,Urban,Y
LP001379,Male,Yes,2,Graduate,No,3763,10288,386,360,,Semiurban,Y
LP001380,Male,Yes,0,Not Graduate,No,1833,0,82,360,1,Urban,Y
LP001381,Male,No,0,Graduate,No,3386,1029,143,84,0,Semiurban,N
LP001382,Female,Yes,0,Not Graduate,No,5062,0,198,360,1,Urban,Y
LP001383,Male,Yes,3+,Graduate,No,6132,2081,319,,1,Urban,Y
LP001384,Male,Yes,0,Graduate,Yes,3069,3320,188,360,1,Urban,Y
LP001385,Male,Yes,0,Graduate,No,6791,6025,442,,1,Urban,Y
LP001386,Female,Yes,0,Graduate,No,2139,2523,169,300,,Rural,Y
LP001387,Male,Yes,2,Graduate,No,2413,0,,360,1,Urban,Y
LP001388,Female,Yes,0,Graduate,No,5822,3204,316,360,1,Urban,Y
LP001389,Male,No,0,Graduate,No,8973,1314,473,360,0,Urban,Y
LP001390,Female,Yes,1,Graduate,No,5282,1075,265,240,1,Urban,Y
LP001391,Male,No,0,Graduate,No,4154,695,192,240,1,Semiurban,Y
LP001392,Male,Yes,0,Graduate,,1575,0,41,240,0,Rural,Y
LP001393,Male,No,0,Graduate,No,1703,1167,95,360,1,Urban,Y
LP001394,Male,Yes,0,Graduate,No,4484,986,240,360,1,Semiurban,Y
LP001395,Male,Yes,,Graduate,No,3601,0,187,360,1,Semiurban,Y
LP001396,Male,No,2,Graduate,No,2572,973,164,360,1,Rural,Y
LP001397,Female,Yes,1,Graduate,Yes,4357,303,201,360,1,Semiurban,Y
LP001398,Male,Yes,1,Graduate,No,4455,1068,174,360,1,Urban,Y
LP001399,Male,No,3+,Graduate,No,6470,1506,309,360,1,Semiurban,Y
LP001400,Male,No,0,Graduate,No,4498,0,149,240,0,Rural,N
LP001401,Male,Yes,0,Not Graduate,No,7352,4973,381,180,1,Semiurban,Y
LP001402,Female,Yes,3+,Graduate,No,4245,0,176,240,,Rural,Y
LP001403,Male,No,0,Not Graduate,No,4016,3390,258,180,1,Rural,Y
LP001404,Male,No,1,Not Graduate,No,6829,1976,345,,1,Urban,N
LP001405,Female,No,2,Graduate,No,2724,1948,170,360,1,Rural,Y
LP001406,Female,Yes,0,Graduate,No,15010,1210,480,360,1,Semiurban,Y
LP001407,Male,No,0,Graduate,No,5008,1929,224,360,,,N
LP001408,Female,Yes,0,Not Graduate,No,5021,1263,230,360,1,Semiurban,Y
LP001409,Male,No,0,Graduate,No,5358,2213,232,360,1,Rural,Y
LP001410,Female,Yes,0,Graduate,No,9845,1734,387,240,1,Semiurban,Y
LP001411,Male,No,0,Graduate,No,6043,1134,289,180,1,Semiurban,Y
LP001412,Male,Yes,2,Graduate,No,2054,0,,84,1,Urban,Y
LP001413,Male,Yes,2,Graduate,No,7955,2581,405,36,1,Semiurban,Y
LP001414,Female,No,2,Graduate,,3629,1527,211,120,1,Rural,Y
LP001415,Male,Yes,0,Graduate,No,4439,2180,217,360,1,Semiurban,Y
LP001416,Male,No,0,Not Graduate,Yes,2379,1900,157,120,1,Urban,Y
LP001417,Male,Yes,0,Graduate,No,5360,0,198,240,1,Rural,Y
LP001418,Male,Yes,0,Graduate,No,3155,2085,132,120,1,Rural,Y
LP001419,Male,Yes,3+,Graduate,No,4425,0,180,360,1,Semiurban,Y
LP001420,Female,Yes,0,Not Graduate,Yes,3723,0,,360,1,Urban,Y
LP001421,Male,Yes,0,Not Graduate,No,10059,755,410,300,1,Semiurban,Y
LP001422,Male,Yes,2,Graduate,No,10322,0,462,360,1,Urban,Y
LP001423,Male,Yes,0,Graduate,Yes,4320,0,,360,0,Urban,N
LP001424,Male,No,0,Graduate,No,4354,1317,217,360,,Semiurban,Y
LP001425,Male,No,0,Not Graduate,Yes,3576,9067,345,360,1,Rural,Y
LP001426,Male,No,1,Graduate,No,6958,3400,386,360,0,Urban,N
LP001427,Male,Yes,2,Graduate,No,3648,0,,60,,Rural,Y
LP001428,Female,Yes,0,Graduate,No,3500,3220,230,120,1,Rural,Y
LP001429,Male,,2,Graduate,No,6571,6074,391,300,1,Urban,Y
LP001430,Male,No,2,Graduate,Yes,3320,1246,145,360,1,Urban,Y
LP001431,Female,No,2,,No,4159,430,200,360,1,Semiurban,Y
LP001432,Male,Yes,0,Graduate,Yes,2076,0,127,360,0,Semiurban,Y
LP001433,Male,No,0,Not Graduate,No,5807,2793,314,360,1,Semiurban,Y
LP001434,Female,Yes,2,Graduate,No,10131,0,383,360,1,Semiurban,Y
LP001435,Male,Yes,0,Graduate,Yes,5852,2357,301,180,1,Semiurban,Y
LP001436,Male,Yes,1,Graduate,No,8167,0,387,60,,Semiurban,N
LP001437,Male,Yes,2,Not Graduate,Yes,2891,2513,181,360,1,Semiurban,Y
LP001438,Male,No,0,Graduate,No,4705,0,225,360,0,Urban,Y
LP001439,Male,No,2,Graduate,No,2767,1137,121,360,1,Urban,Y
LP001440,Male,Yes,3+,Graduate,No,3818,0,152,360,1,Urban,Y
LP001441,Female,Yes,1,Graduate,No,5988,5263,387,360,1,Rural,Y
LP001442,Male,No,0,Graduate,No,4429,0,187,360,1,Rural,Y
LP001443,Male,No,2,Graduate,No,2240,0,70,360,1,Rural,Y
LP001444,Male,Yes,0,Graduate,No,2341,1376,108,360,0,Urban,N
LP001445,Male,Yes,,Graduate,No,2272,1354,149,240,1,Semiurban,Y
LP001446,Male,Yes,2,Graduate,No,5277,1306,274,360,1,Urban,Y
LP001447,Female,Yes,1,Not Graduate,No,10708,925,480,,1,Urban,Y
LP001448,Male,No,0,Graduate,No,7810,812,378,360,1,Urban,Y
LP001449,Male,Yes,0,Graduate,Yes,1802,1778,120,360,1,Rural,Y
LP001450,Male,No,0,Graduate,No,8018,0,313,360,1,Urban,Y
LP001451,Male,Yes,0,Graduate,No,6447,3883,389,180,1,Semiurban,Y
LP001452,Female,Yes,0,Graduate,No,2110,2382,162,120,0,Rural,N
LP001453,Male,No,1,Graduate,No,3691,2343,182,360,1,Semiurban,Y
LP001454,Male,Yes,0,Graduate,No,6926,1279,283,360,1,Urban,Y
LP001455,Male,Yes,,Graduate,No,5419,1858,276,360,1,Rural,Y
LP001456,Male,No,2,Not Graduate,No,2347,2481,151,360,0,Semiurban,N
LP001457,Female,No,0,Not Graduate,No,5568,3071,299,360,1,Semiurban,Y
LP001458,Male,Yes,1,Graduate,No,1617,0,91,120,1,Semiurban,Y
LP001459,Male,Yes,1,Graduate,No,3827,3818,268,360,1,Rural,Y
LP001460,Male,Yes,0,Graduate,,7059,2008,366,360,1,Semiurban,Y
LP001461,Male,Yes,0,Graduate,,4265,3215,203,360,0,Semiurban,N
LP001462,Male,Yes,2,Graduate,Yes,3379,1489,179,360,0,Semiurban,N
LP001463,Female,Yes,3+,Graduate,No,6312,0,270,300,1,Urban,Y
LP001464,Male,No,1,Graduate,No,6559,0,224,360,1,Rural,Y
LP001465,Male,No,2,Graduate,No,7628,0,289,360,1,,N
LP001466,Male,No,3+,Not Graduate,No,6270,2822,300,360,1,Semiurban,Y
LP001467,Male,No,0,Graduate,No,6882,0,276,180,0,Semiurban,Y
LP001468,Female,No,1,Graduate,No,5883,1621,317,360,,Urban,Y
LP001469,Male,No,0,Graduate,Yes,4767,1231,272,360,1,Semiurban,Y
LP001470,Male,,3+,Graduate,No,4404,2782,225,360,1,Semiurban,Y
LP001471,Male,Yes,0,Graduate,No,3802,0,,360,1,Urban,Y
LP001472,Male,Yes,0,Not Graduate,No,2451,1427,148,240,1,Urban,Y
LP001473,Male,Yes,2,Graduate,No,2752,0,120,360,1,Rural,N
LP001474,Male,Yes,0,Graduate,No,3726,1176,188,360,1,Rural,Y
LP001475,Male,Yes,2,Graduate,No,4716,0,196,360,1,Semiurban,Y
LP001476,Male,Yes,0,Graduate,,8090,0,366,360,1,Urban,Y
LP001477,Male,Yes,3+,Graduate,Yes,4151,0,194,360,0,Urban,N
LP001478,Male,Yes,2,Graduate,Yes,6645,1612,280,180,1,Urban,Y
LP001479,Male,Yes,0,,No,6875,0,295,360,1,Semiurban,Y
LP001480,Male,No,2,Graduate,No,3812,2193,230,,,Rural,N
LP001481,Male,No,0,Graduate,No,5528,385,239,360,,Semiurban,Y
LP001482,Male,Yes,1,Graduate,Yes,3791,1160,209,360,1,Urban,Y
LP001483,Male,Yes,1,Not Graduate,No,7669,0,311,,,Rural,Y
LP001484,Male,Yes,2,Graduate,No,5631,0,230,360,1,Semiurban,Y
LP001485,Male,No,0,Graduate,,2476,2318,160,360,1,Urban,Y
LP001486,Male,No,0,Graduate,No,4549,0,132,360,0,Semiurban,N
LP001487,Male,Yes,1,Graduate,No,8881,1648,394,84,1,Urban,Y
LP001488,Male,No,0,Graduate,Yes,3899,0,139,360,,Rural,Y
LP001489,Male,Yes,0,Graduate,No,5174,2428,238,360,1,Urban,Y
LP001490,Male,Yes,0,Graduate,Yes,5408,0,252,360,1,Semiurban,Y
LP001491,Male,No,0,Graduate,No,2653,1820,164,360,1,Semiurban,Y
LP001492,Male,Yes,2,Graduate,No,5323,0,212,360,0,Rural,N
LP001493,Male,Yes,0,Not Graduate,No,2259,7670,268,360,1,Semiurban,Y
LP001494,Male,Yes,,Not Graduate,No,3192,0,135,360,1,Semiurban,Y
LP001495,Male,Yes,3+,Graduate,No,6864,1583,339,240,1,Urban,Y
LP001496,Male,No,0,Graduate,No,4967,1994,228,240,1,Rural,Y
LP001497,Male,No,1,Graduate,No,3689,0,147,360,1,Semiurban,Y
LP001498,Male,Yes,0,Not Graduate,No,5171,0,229,84,1,Urban,Y
LP001499,Male,Yes,2,Graduate,No,4117,0,116,36,1,Rural,Y
LP001500,Male,No,1,Graduate,No,4254,0,169,360,,Urban,Y
LP001501,Male,Yes,2,Graduate,No,5685,0,217,360,1,Urban,Y
LP001502,Female,No,0,Not Graduate,Yes,3049,1868,165,360,1,Semiurban,Y
LP001503,Female,No,0,Graduate,No,4308,1876,207,360,1,Urban,Y
LP001504,Male,Yes,2,Graduate,No,3676,0,150,360,1,Semiurban,Y
LP001505,Male,No,0,Not Graduate,No,2072,1785,176,360,1,Urban,N
LP001506,Male,Yes,0,Graduate,No,2796,0,,84,1,Urban,Y
LP001507,Male,Yes,0,Not Graduate,No,8567,3140,428,360,0,Urban,N
LP001508,Female,Yes,3+,Graduate,Yes,5030,0,251,180,1,Urban,Y
LP001509,Male,Yes,1,Graduate,No,2332,1064,106,360,1,Rural,Y
LP001510,Male,No,1,Not Graduate,No,2115,700,147,360,0,Semiurban,N
LP001511,Male,No,1,Graduate,,4022,0,161,240,1,Semiurban,Y
LP001512,Female,No,0,Graduate,No,8540,0,386,360,1,Semiurban,Y
LP001513,Male,No,0,Graduate,No,3889,0,174,360,1,Semiurban,Y
LP001514,,Yes,0,Graduate,No,7617,848,334,360,1,Urban,Y
LP001515,Male,Yes,1,Graduate,No,4956,5831,342,360,1,Urban,Y
LP001516,Male,No,0,Graduate,No,5229,1387,228,,1,Semiurban,Y
LP001517,Male,No,2,Graduate,No,2319,2210,150,360,1,Semiurban,Y
LP001518,Male,Yes,2,Graduate,No,6450,3336,364,360,1,Rural,Y
LP001519,Male,Yes,0,Graduate,No,3638,1105,173,360,1,Rural,Y
LP001520,Female,Yes,0,Graduate,No,6238,1440,278,360,1,Rural,Y
LP001521,Female,Yes,0,Graduate,No,2933,2225,167,360,1,Urban,Y
LP001522,Male,No,3+,Graduate,No,4581,0,208,360,1,Urban,Y
LP001523,Male,Yes,2,Not Graduate,No,4956,2394,289,360,1,Urban,Y
LP001524,Male,No,3+,Graduate,No,3947,0,141,360,1,Rural,Y
LP001525,Male,No,0,Graduate,No,5075,0,186,360,1,Rural,Y
LP001526,Male,No,0,Graduate,No,3752,2492,222,360,1,Rural,Y
LP001527,,Yes,0,Not Graduate,Yes,3159,0,165,360,1,Urban,N
LP001528,Female,Yes,0,Graduate,No,8712,0,377,360,0,Rural,N
LP001529,Male,No,0,Graduate,No,6782,0,240,84,1,Semiurban,Y
LP001530,Male,No,0,Graduate,No,3004,5221,244,360,1,Rural,Y
LP001531,Male,Yes,3+,Graduate,No,5463,2253,252,360,1,Semiurban,Y
LP001532,,No,0,Graduate,No,3028,0,114,360,0,Urban,N
LP001533,Male,Yes,0,Not Graduate,No,2482,0,139,360,1,Urban,Y
LP001534,Male,No,2,Graduate,No,6736,2958,308,360,1,Rural,Y
LP001535,Male,Yes,1,Graduate,No,1965,1733,81,360,1,Semiurban,Y
LP001536,Male,Yes,2,Graduate,No,6419,0,236,360,1,Urban,N
LP001537,Male,Yes,1,Graduate,No,3775,1200,188,360,0,Urban,N
LP001538,Male,Yes,2,Graduate,No,3846,913,192,360,1,Urban,Y
LP001539,Male,Yes,1,Graduate,No,5087,0,214,180,1,Rural,Y
LP001540,Female,Yes,0,Graduate,Yes,5495,2036,300,360,1,Urban,Y
LP001541,Female,Yes,1,Graduate,No,2917,1621,,300,1,Urban,Y
LP001542,Male,No,0,Not Graduate,No,5843,4173,368,360,1,Rural,Y
LP001543,Female,Yes,0,Graduate,No,4452,1200,200,180,1,Semiurban,Y
LP001544,Female,No,0,Graduate,No,2404,2411,175,360,1,Urban,Y
LP001545,Male,No,0,Graduate,Yes,3919,2081,176,360,1,Urban,Y
LP001546,Male,Yes,2,Graduate,No,7876,785,335,360,1,Urban,Y
LP001547,Male,Yes,0,Graduate,No,8995,906,388,360,1,Urban,Y
LP001548,Male,No,0,Not Graduate,No,5842,2013,313,360,0,Urban,N
LP001549,Male,No,0,Graduate,No,2476,6560,223,360,1,Urban,Y
LP001550,Male,Yes,2,Not Graduate,No,5275,2829,282,360,,Semiurban,Y
LP001551,Male,No,0,Not Graduate,No,6204,0,,360,1,Rural,Y
LP001552,Male,Yes,,Graduate,No,5864,0,247,300,1,Rural,Y
LP001553,Male,Yes,2,Graduate,No,6022,3102,338,360,,Semiurban,Y
LP001554,Female,No,0,Graduate,No,4981,1886,279,,1,Urban,Y
LP001555,Male,Yes,2,Graduate,No,4095,0,150,360,1,Rural,Y
LP001556,Male,No,0,Not Graduate,No,3217,1178,181,360,1,Rural,N
LP001557,Male,Yes,0,Graduate,No,1801,0,106,120,1,Semiurban,Y
LP001558,Male,No,1,Not Graduate,No,4929,0,156,360,1,Urban,Y
LP001559,Male,Yes,2,Graduate,No,4600,1528,238,360,1,Urban,Y
LP001560,Male,Yes,0,Graduate,No,5437,0,241,360,1,Semiurban,Y
LP001561,Male,Yes,0,Graduate,No,2317,2029,137,360,,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,5655,0,196,360,1,Urban,N
LP001563,Female,No,0,Graduate,Yes,10663,1981,480,36,,Rural,Y
LP001564,Male,Yes,1,Graduate,No,4382,0,145,360,0,Semiurban,N
LP001565,Male,Yes,1,Graduate,No,4114,1514,198,,,Semiurban,Y
LP001566,Male,Yes,1,Not Graduate,,4861,901,216,360,1,Urban,Y
LP001567,Male,Yes,0,Graduate,No,10557,0,440,360,1,Rural,Y
LP001568,Male,No,1,Graduate,No,2669,0,91,60,1,Semiurban,Y
LP001569,Male,Yes,,Graduate,No,4635,0,168,360,1,Urban,Y
LP001570,Male,No,1,Graduate,Yes,2952,1921,169,360,1,Semiurban,Y
LP001571,Male,Yes,0,Not Graduate,No,3307,2080,209,360,,Semiurban,Y
LP001572,Female,No,0,Graduate,No,4137,1584,262,360,1,Rural,Y
LP001573,Male,Yes,0,Graduate,No,7757,1977,322,360,1,Urban,Y
LP001574,Male,Yes,0,Graduate,Yes,9513,1951,437,360,1,Rural,Y
LP001575,Female,No,0,Graduate,No,5175,2219,235,180,1,Semiurban,Y
LP001576,Male,No,0,,No,3571,486,180,360,1,Urban,Y
LP001577,Female,No,,Not Graduate,Yes,12987,6177,480,360,1,Urban,Y
LP001578,Male,Yes,0,Graduate,No,3490,1829,168,360,1,Urban,Y
LP001579,Female,Yes,2,Graduate,Yes,3271,2831,187,360,0,Urban,N
LP001580,Male,No,0,Graduate,No,1903,0,74,360,,Semiurban,Y
LP001581,Male,Yes,2,Graduate,No,7929,0,325,360,1,Semiurban,Y
LP001582,Male,No,0,Not Graduate,No,6540,0,274,360,0,Urban,N
LP001583,Male,Yes,0,Graduate,No,12557,4826,480,240,1,Rural,Y
LP001584,Male,Yes,1,Graduate,No,2264,0,57,360,1,Urban,Y
LP001585,Female,No,3+,Graduate,No,8153,3149,,360,1,Semiurban,Y
LP001586,Male,No,0,Graduate,No,4366,1353,,360,1,Rural,Y
LP001587,Male,Yes,0,Not Graduate,No,6080,1523,310,360,1,Rural,Y
LP001588,Male,Yes,1,Graduate,No,2015,1724,106,360,1,Semiurban,Y
LP001589,Male,,1,Graduate,No,8190,0,288,180,1,Semiurban,Y
LP001590,Male,Yes,0,Graduate,No,6027,643,256,360,1,Urban,Y
LP001591,Female,Yes,0,Graduate,No,4157,0,199,360,1,Urban,Y
LP001592,Male,Yes,0,Graduate,Yes,5655,621,246,36,1,Semiurban,Y
LP001593,Male,No,3+,Graduate,No,2997,1041,141,360,1,Urban,Y
LP001594,Male,No,0,Graduate,No,3259,1228,139,360,0,Urban,N
LP001595,Male,Yes,0,Graduate,No,3434,758,,,1,Urban,Y
LP001596,Male,Yes,3+,Graduate,No,1838,0,48,360,,Rural,N
LP001597,Male,Yes,0,Graduate,No,6234,597,246,360,1,Rural,Y
LP001598,Male,Yes,0,Graduate,No,7232,1085,331,360,1,Rural,Y
LP001599,Female,Yes,0,Graduate,No,3085,4106,180,360,1,Semiurban,Y
LP001600,Male,Yes,0,Not Graduate,Yes,4948,0,230,360,1,Urban,Y
LP001601,Male,No,0,Graduate,No,3754,0,166,360,1,Urban,Y
LP001602,Male,Yes,0,Graduate,No,4904,1095,246,240,0,Semiurban,Y
LP001603,Female,Yes,2,Graduate,Yes,3189,0,142,360,1,Semiurban,Y
LP001604,,Yes,1,Graduate,Yes,2843,1009,135,180,1,Urban,Y
LP001605,Female,No,0,Graduate,,6792,1947,294,360,1,Semiurban,Y
LP001606,Male,Yes,0,Graduate,No,4110,3364,245,360,1,Semiurban,Y
LP001607,Female,Yes,0,Not Graduate,No,10509,0,396,360,1,Urban,Y
LP001608,Male,No,3+,Graduate,No,4319,2917,258,360,0,Urban,N
LP001609,Male,Yes,0,Graduate,No,2789,0,132,360,1,Semiurban,Y
LP001610,Male,Yes,1,Graduate,No,7348,2028,382,360,1,Semiurban,Y
LP001611,Male,No,0,Graduate,No,5619,1648,275,,1,Rural,Y
LP001612,Male,Yes,1,Graduate,No,5867,0,,360,1,Semiurban,Y
LP001613,Female,Yes,0,Not Graduate,No,7228,0,282,360,0,Semiurban,N
LP001614,Female,Yes,2,Graduate,No,3153,0,114,360,0,Rural,N
LP001615,Male,Yes,,Graduate,No,3995,1736,215,360,1,Urban,Y
LP001616,Male,No,2,Graduate,No,3916,4134,250,360,0,Semiurban,N
LP001617,Male,Yes,0,Graduate,No,2366,0,101,360,1,Semiurban,Y
LP001618,Male,Yes,2,Not Graduate,Yes,3757,0,124,360,1,Semiurban,Y
